"variable_name","readable_name","definition","description","type","units","allowed_values","value_labels","missing_values","source_or_origin","derivation_or_transformation","validation_rules","notes","review_status"
"prior_vector_sum_raw","Raw prior vector sum","Sum of raw prior values before normalization for a schema.","QA field for prior normalization.","number","probability or workbook-specific scale","Positive numeric values","","blank allowed when priors missing","scripts/build_one_vs_rest_inputs.py","Summed across parsed prior_raw values.","Should be positive when priors are used.","Review if raw source uses odds or unscaled weights.","needs_review"
"model_id","Model identifier","Model/run identifier used to scope generated outputs and quality summaries.","Separates outputs from different LLM model runs.","string","not applicable","Provider model IDs or local run names","","blank not allowed in model-scoped outputs","Runtime environment or CLI argument","Used in output directory and manifest names.","Should be explicit and reproducible in run notes.","Examples in README are illustrative, not fixed.","complete"
"lr_value","Likelihood ratio value","Positive numeric likelihood ratio estimated by model output or produced by coherence projection.","Main analytic value in generated output workbooks.","number","likelihood ratio","Positive real numbers","","missing, nonnumeric, zero, or negative values fail audits","Model response or coherence projection","Parsed from workbook cells by audit scripts.","Must be positive numeric for passing output cells.","Workbook-specific cell locations are defined by manifests.","complete"
"passes","Audit pass flag","Boolean flag indicating whether a workbook or cell passed structural LR checks.","Used in quality summaries for differential and one-vs-rest workflows.","boolean","not applicable","true; false","true=passes, false=fails","blank not allowed in quality summaries","Audit scripts","Derived from parsing output workbooks.","Failed rows should be reviewed before use.","May summarize workbook-level or cell-level status depending on file.","complete"
"invalid_reason","Invalid reason","Short audit explanation for a missing, invalid, or structurally unparseable LR cell.","Helps target repairs or exclusions.","string","not applicable","Audit-script messages","","blank when no invalidity is present","Audit scripts","Generated from audit classifications.","Should be nonblank for invalid rows.","Exact vocabulary is audit-script defined.","complete"
"coherent_lr","Coherent likelihood ratio","One-vs-rest LR value after Bayes-coherent projection.","Projection aligns independently estimated one-vs-rest LRs with a multiclass posterior distribution.","number","likelihood ratio","Positive real numbers","","blank when projection not run or failed","scripts/project_one_vs_rest_coherent_lrs.py","Derived from raw one-vs-rest outputs and normalized priors.","Must be positive numeric in coherent output workbooks.","Do not overwrite raw model outputs.","complete"
"coherence_status","Coherence projection status","Status field describing whether a scenario/finding projection succeeded, failed, or was skipped.","Used in coherence quality and invalid-row manifests.","string","not applicable","Script-defined statuses","","blank only outside coherence manifests","scripts/project_one_vs_rest_coherent_lrs.py","Generated during projection.","Failures should be reviewed before publication-facing summaries.","Exact status labels are implementation-defined.","needs_review"
"assessment_pdf","Assessment transcript PDF","Simulated encounter transcript or assessment PDF used by extraction notebooks.","Input family for assessment feature extraction.","path","not applicable","data/raw/chatbot_transcripts/**/*.pdf; data/raw/assessment_individuals/**/*.pdf","","blank not allowed when processing an encounter","data/raw/chatbot_transcripts; data/raw/assessment_individuals","Read by assessment notebooks.","Should contain no secrets or private manuscript material.","Content sensitivity should be checked before public expansion.","needs_review"
"assessment_template","Assessment template workbook","Excel template used to structure extracted features and LR labels.","Defines workbook layout for assessment outputs.","path","not applicable","data/raw/assessment_templates/*.xlsx","","blank not allowed for assessment workflow","data/raw/assessment_templates","Copied/populated by assessment notebooks.","File should remain immutable as raw input.","Filename has historical misspelling asssessment.","complete"
"assessment_output","Assessment output workbook","Workbook populated with transcript-derived findings and LR labels.","Generated output from assessment notebooks.","path","not applicable","data/processed/assessments/*.xlsx","","blank not applicable","notebooks/10_assessment_extract_features.ipynb; notebooks/11_assessment_estimate_lrs.ipynb","Generated from transcript PDFs and templates.","Should be reviewed for sensitivity before sharing outside repo context.","Retained as public workflow artifact in current branch.","needs_review"
"review_bundle","Review bundle","Packaged workflow handoff containing selected code, manifests, and outputs.","Generated by packaging scripts for external review or reproducibility handoff.","path","not applicable","artifacts/packages/*","","blank not applicable","scripts/run_differential_and_package.sh; scripts/package_one_vs_rest_review_bundle.py","Created from workflow-specific manifests and outputs.","Must not be full repo snapshots or include private drafts/secrets.","Ignored by default unless intentionally released/tracked.","complete"
"pairs_manifest","Differential pairs manifest","CSV manifest with one row per diagnosis-pair workbook for the differential LR workflow.","Records scenario, source workbook, categories, input workbook, and expected output workbook.","file","not applicable","data/processed/lr_differential/manifests/pairs_manifest.csv","","file missing means differential batch cannot run from canonical manifest","scripts/build differential workflow","Generated from scenario registry and parsed source workbooks.","Required columns include scenario_id, pair_index, source_workbook, source_sheet, category_left, category_right, input_workbook, output_workbook.","Canonical manifest for pairwise differential LR runs.","complete"
"inputs_manifest","One-vs-rest inputs manifest","CSV manifest with one row per scenario schema for the one-vs-rest LR workflow.","Records source workbook, worksheet, schema location, category count, finding count, and normalized input workbook.","file","not applicable","data/processed/lr_one_vs_rest/manifests/inputs_manifest.csv","","file missing means one-vs-rest batch cannot run from canonical manifest","scripts/build_one_vs_rest_inputs.py","Generated from source workbooks and scenario config.","Required columns include scenario_id, source_workbook, source_sheet, schema_sheet_name, findings_count, normalized_input_workbook.","Canonical manifest for one-vs-rest LR runs.","complete"
"schema_priors","Schema priors manifest","CSV manifest with one row per category prior in each one-vs-rest schema.","Provides normalized priors used by Bayes-coherent projection.","file","not applicable","data/processed/lr_one_vs_rest/manifests/schema_priors.csv","","file missing limits or blocks coherence projection depending on command flags","scripts/build_one_vs_rest_inputs.py","Generated from parsed prior rows in source workbooks.","Required columns include scenario_id, source_workbook, source_sheet, schema_sheet_name, category_order, category, prior_raw, prior_normalized.","Review raw prior semantics before publication-facing interpretation.","needs_review"
